,NUTS_ID_x,YYYY,KEY,HIT,SPE12_12,SPI12_12
323,CZ04,1991,CZ041991,0.0,-1.6735409498214722,-1.794772028923035
324,CZ04,1992,CZ041992,0.0,-1.0789716243743896,-0.7074403166770935
325,CZ04,1993,CZ041993,0.0,-0.47308349609375,-0.3665443360805512
326,CZ04,1994,CZ041994,0.0,-0.3871702551841736,-0.2378808557987213
327,CZ04,1995,CZ041995,0.0,0.5961917042732239,0.6009660959243774
328,CZ04,1996,CZ041996,0.0,-0.4795677065849304,-0.9339163899421692
329,CZ04,1997,CZ041997,0.0,-1.4038270711898804,-1.441800832748413
330,CZ04,1998,CZ041998,0.0,-0.2452809661626816,-0.25592029094696045
331,CZ04,1999,CZ041999,0.0,-0.8538858294487,-0.8487092852592468
332,CZ04,2000,CZ042000,0.0,-0.4989525973796845,-0.4848258197307586
333,CZ04,2001,CZ042001,0.0,0.3793529272079468,0.25316208600997925
334,CZ04,2002,CZ042002,0.0,0.3273304104804993,0.4413926601409912
335,CZ04,2003,CZ042003,0.0,-2.788966178894043,-2.656233787536621
336,CZ04,2004,CZ042004,0.0,-0.5021555423736572,-0.3799879252910614
337,CZ04,2005,CZ042005,0.0,-0.8899411559104919,-0.5614063739776611
338,CZ04,2006,CZ042006,0.0,-1.2513507604599,-0.8888819217681885
339,CZ04,2007,CZ042007,0.0,-0.2146994322538376,0.2325071543455124
340,CZ04,2008,CZ042008,0.0,-0.7679229378700256,-0.8179218769073486
341,CZ04,2009,CZ042009,0.0,-0.10981013625860214,-0.14406335353851318
342,CZ04,2010,CZ042010,0.0,0.9109773039817809,1.0175852775573728
343,CZ04,2011,CZ042011,0.0,-1.033366084098816,-0.7806219458580017
344,CZ04,2012,CZ042012,0.0,-0.7610065340995789,-0.376300185918808
345,CZ05,1970,CZ051970,0.0,0.4758693277835846,0.4706275463104248
346,CZ05,1971,CZ051971,0.0,-0.906992495059967,-1.0159965753555298
347,CZ05,1972,CZ051972,0.0,-1.3957302570343018,-2.1757247447967534
348,CZ05,1973,CZ051973,0.0,-1.649294137954712,-1.7020891904830933
349,CZ05,1974,CZ051974,0.0,0.9330375194549559,0.7964414954185486
350,CZ05,1975,CZ051975,0.0,-1.3488047122955322,-1.4952818155288696
351,CZ05,1976,CZ051976,0.0,-1.7200360298156738,-1.6796911954879759
352,CZ05,1977,CZ051977,0.0,1.0237449407577517,0.7914746999740601
353,CZ05,1978,CZ051978,0.0,-0.7755815386772156,-1.4787483215332031
354,CZ05,1979,CZ051979,0.0,-0.21868376433849332,-0.19879505038261414
355,CZ05,1980,CZ051980,0.0,0.061741616576910026,-0.4017772078514099
356,CZ05,1981,CZ051981,0.0,0.3443742394447327,0.3278481364250183
357,CZ05,1982,CZ051982,0.0,-1.9997062683105469,-2.2674381732940674
358,CZ05,1983,CZ051983,0.0,-1.9463927745819087,-1.7596487998962402
359,CZ05,1984,CZ051984,0.0,-0.5670580267906189,-0.9713351726531982
360,CZ05,1985,CZ051985,0.0,-0.35685932636260986,-0.5774064064025879
361,CZ05,1986,CZ051986,0.0,-0.14177289605140686,0.02468368224799633
362,CZ05,1987,CZ051987,0.0,-0.6092267632484436,-0.8192654252052307
363,CZ05,1988,CZ051988,0.0,-0.3133220374584198,-0.37237223982810974
364,CZ05,1989,CZ051989,0.0,-1.5939865112304688,-1.8351278305053709
365,CZ05,1990,CZ051990,0.0,-2.0567493438720703,-2.401968240737915
